Id,device,deviceName,devType,prodId,capabilityId,capabilityDescription,commandId,valueType,enum_values,value,min,max,serviceId,serviceDescription,influencedChannels,influenceType
19,light,yeelightLEDColor,"""01B""","""100z""",lightMode,different light modes,setLightMode,enum,"{""mode"":{""enumList"":[{""label"":""custom"",""value"":""0""},{""label"":""guest"",""value"":""1""},{""label"":""entertainment"",""value"":""2""},{""label"":""movie"",""value"":""3""},{""label"":""eating"",""value"":""4""},{""label"":""colorful"",""value"":""5""},{""label"":""romantic"",""value"":""6""},{""label"":""working"",""value"":""7""},{""label"":""sleeping"",""value"":""8""}],""format"":""enum""}}",5,,,light-yeelightLEDColor_lightMode_setLightMode_5,turn light into colorful mode,luminance,hasIncreased
20,light,yeelightLEDColor,"""01B""","""100z""",lightMode,different light modes,setLightMode,enum,"{""mode"":{""enumList"":[{""label"":""custom"",""value"":""0""},{""label"":""guest"",""value"":""1""},{""label"":""entertainment"",""value"":""2""},{""label"":""movie"",""value"":""3""},{""label"":""eating"",""value"":""4""},{""label"":""colorful"",""value"":""5""},{""label"":""romantic"",""value"":""6""},{""label"":""working"",""value"":""7""},{""label"":""sleeping"",""value"":""8""}],""format"":""enum""}}",6,,,light-yeelightLEDColor_lightMode_setLightMode_6,turn light into romantic mode,luminance,hasIncreased
21,light,yeelightLEDColor,"""01B""","""100z""",lightMode,different light modes,setLightMode,enum,"{""mode"":{""enumList"":[{""label"":""custom"",""value"":""0""},{""label"":""guest"",""value"":""1""},{""label"":""entertainment"",""value"":""2""},{""label"":""movie"",""value"":""3""},{""label"":""eating"",""value"":""4""},{""label"":""colorful"",""value"":""5""},{""label"":""romantic"",""value"":""6""},{""label"":""working"",""value"":""7""},{""label"":""sleeping"",""value"":""8""}],""format"":""enum""}}",7,,,light-yeelightLEDColor_lightMode_setLightMode_7,turn light into working mode,luminance,hasIncreased
22,light,yeelightLEDColor,"""01B""","""100z""",lightMode,different light modes,setLightMode,enum,"{""mode"":{""enumList"":[{""label"":""custom"",""value"":""0""},{""label"":""guest"",""value"":""1""},{""label"":""entertainment"",""value"":""2""},{""label"":""movie"",""value"":""3""},{""label"":""eating"",""value"":""4""},{""label"":""colorful"",""value"":""5""},{""label"":""romantic"",""value"":""6""},{""label"":""working"",""value"":""7""},{""label"":""sleeping"",""value"":""8""}],""format"":""enum""}}",8,,,light-yeelightLEDColor_lightMode_setLightMode_8,turn light into sleeping mode,luminance,hasIncreased
23,AC,MideaAirConditioner,"""012""","""101z""",switchOnOff,switchOnOff,on,enum,"[{""enumName"": ""on"", ""value"": ""1""}, {""enumName"": ""off"", ""value"": ""0""}]",1,,,AC-MideaAirConditioner_switchOnOff_on_1,turn on the AC,,
24,AC,MideaAirConditioner,"""012""","""101z""",switchOnOff,switchOnOff,on,enum,"[{""enumName"": ""on"", ""value"": ""1""}, {""enumName"": ""off"", ""value"": ""0""}]",0,,,AC-MideaAirConditioner_switchOnOff_on_0,turn off the AC,,
25,AC,MideaAirConditioner,"""012""","""101z""",mode,different ac modes,setMode,enum,"[{""enumName"":""heat"",""value"":""1""},{""enumName"":""cool"",""value"":""2""},{""enumName"":""auto"",""value"":""3""},{""enumName"":""fan"",""value"":""4""},{""enumName"":""dry"",""value"":""5""}]",1,,,AC-MideaAirConditioner_mode_setMode_1,heat mode of the AC,temperature,hasIncreased
26,AC,MideaAirConditioner,"""012""","""101z""",mode,different ac modes,setMode,enum,"[{""enumName"":""heat"",""value"":""1""},{""enumName"":""cool"",""value"":""2""},{""enumName"":""auto"",""value"":""3""},{""enumName"":""fan"",""value"":""4""},{""enumName"":""dry"",""value"":""5""}]",2,,,AC-MideaAirConditioner_mode_setMode_2,cool mode of the AC,temperature,hasDecreased
27,AC,MideaAirConditioner,"""012""","""101z""",mode,different ac modes,setMode,enum,"[{""enumName"":""heat"",""value"":""1""},{""enumName"":""cool"",""value"":""2""},{""enumName"":""auto"",""value"":""3""},{""enumName"":""fan"",""value"":""4""},{""enumName"":""dry"",""value"":""5""}]",3,,,AC-MideaAirConditioner_mode_setMode_3,automatic mode of the AC,,
28,AC,MideaAirConditioner,"""012""","""101z""",mode,different ac modes,setMode,enum,"[{""enumName"":""heat"",""value"":""1""},{""enumName"":""cool"",""value"":""2""},{""enumName"":""auto"",""value"":""3""},{""enumName"":""fan"",""value"":""4""},{""enumName"":""dry"",""value"":""5""}]",4,,,AC-MideaAirConditioner_mode_setMode_4,fan mode of the AC,,
29,AC,MideaAirConditioner,"""012""","""101z""",mode,different ac modes,setMode,enum,"[{""enumName"":""heat"",""value"":""1""},{""enumName"":""cool"",""value"":""2""},{""enumName"":""auto"",""value"":""3""},{""enumName"":""fan"",""value"":""4""},{""enumName"":""dry"",""value"":""5""}]",5,,,AC-MideaAirConditioner_mode_setMode_5,dry mode of the AC,,
30,AC,MideaAirConditioner,"""012""","""101z""",tempControl,target temperature,setTemp,range,,,16,30,AC-MideaAirConditioner_tempControl_setTemp_range,set target temperature,,
31,AC,MideaAirConditioner,"""012""","""101z""",windSpeed,change wind speed,setWindSpeed,enum,"[{""enumName"":""low"",""value"":""1""},{""enumName"":""middle"",""value"":""2""},{""enumName"":""high"",""value"":""3""},{""enumName"":""auto"",""value"":""4""},{""enumName"":""silent"",""value"":""5""}]",1,,,AC-MideaAirConditioner_windSpeed_setWindSpeed_1,switch the air conditioner to low speed,,
32,AC,MideaAirConditioner,"""012""","""101z""",windSpeed,change wind speed,setWindSpeed,enum,"[{""enumName"":""low"",""value"":""1""},{""enumName"":""middle"",""value"":""2""},{""enumName"":""high"",""value"":""3""},{""enumName"":""auto"",""value"":""4""},{""enumName"":""silent"",""value"":""5""}]",2,,,AC-MideaAirConditioner_windSpeed_setWindSpeed_2,switch the air conditioner to middle speed,,
33,AC,MideaAirConditioner,"""012""","""101z""",windSpeed,change wind speed,setWindSpeed,enum,"[{""enumName"":""low"",""value"":""1""},{""enumName"":""middle"",""value"":""2""},{""enumName"":""high"",""value"":""3""},{""enumName"":""auto"",""value"":""4""},{""enumName"":""silent"",""value"":""5""}]",3,,,AC-MideaAirConditioner_windSpeed_setWindSpeed_3,switch the air conditioner to high speed,,
34,AC,MideaAirConditioner,"""012""","""101z""",windSpeed,change wind speed,setWindSpeed,enum,"[{""enumName"":""low"",""value"":""1""},{""enumName"":""middle"",""value"":""2""},{""enumName"":""high"",""value"":""3""},{""enumName"":""auto"",""value"":""4""},{""enumName"":""silent"",""value"":""5""}]",4,,,AC-MideaAirConditioner_windSpeed_setWindSpeed_4,switch the air conditioner to auto speed,,
35,AC,MideaAirConditioner,"""012""","""101z""",windSpeed,change wind speed,setWindSpeed,enum,"[{""enumName"":""low"",""value"":""1""},{""enumName"":""middle"",""value"":""2""},{""enumName"":""high"",""value"":""3""},{""enumName"":""auto"",""value"":""4""},{""enumName"":""silent"",""value"":""5""}]",5,,,AC-MideaAirConditioner_windSpeed_setWindSpeed_5,switch the air conditioner to silent speed,,
36,speaker,HUAWEIAISpeaker,"""00A""","""001T""",audioPlayState,play control,pause,enum,"[{""enumName"": ""play"", ""value"": ""1""}, {""enumName"": ""pause"", ""value"": ""0""}]",1,,,speaker-HUAWEIAISpeaker_audioPlayState_pause_1,play,,
37,speaker,HUAWEIAISpeaker,"""00A""","""001T""",audioPlayState,play control,pause,enum,"[{""enumName"": ""play"", ""value"": ""1""}, {""enumName"": ""pause"", ""value"": ""0""}]",0,,,speaker-HUAWEIAISpeaker_audioPlayState_pause_0,pause,,
38,speaker,HUAWEIAISpeaker,"""00A""","""001T""",playMusic,play specific music,play,enum,"{""asr"":{""enumList"":[{""label"":""America"",""value"":""AmericaMusic""},{""label"":""Light"",""value"":""LightMusic""},{""label"":""Background"",""value"":""BackgroundMusic""},{""label"":""Popular"",""value"":""PopularMusic""},{""label"":""Piano"",""value"":""PianoPiece""},{""label"":""Rock&Roll"",""value"":""Rock&Roll""},{""label"":""Folk"",""value"":""FolkSong""},{""label"":""Children"",""value"":""ChildrenSong""},{""label"":""Leisure"",""value"":""LeisureMusic""},{""label"":""Diy"",""value"":""aiting:5373510""}],""format"":""enum""}}",AmericaMusic,,,speaker-HUAWEIAISpeaker_playMusic_play_AmericaMusic,play America music,,
39,speaker,HUAWEIAISpeaker,"""00A""","""001T""",playMusic,play specific music,play,enum,"{""asr"":{""enumList"":[{""label"":""America"",""value"":""AmericaMusic""},{""label"":""Light"",""value"":""LightMusic""},{""label"":""Background"",""value"":""BackgroundMusic""},{""label"":""Popular"",""value"":""PopularMusic""},{""label"":""Piano"",""value"":""PianoPiece""},{""label"":""Rock&Roll"",""value"":""Rock&Roll""},{""label"":""Folk"",""value"":""FolkSong""},{""label"":""Children"",""value"":""ChildrenSong""},{""label"":""Leisure"",""value"":""LeisureMusic""},{""label"":""Diy"",""value"":""aiting:5373510""}],""format"":""enum""}}",LightMusic,,,speaker-HUAWEIAISpeaker_playMusic_play_LightMusic,play Light music,,
40,speaker,HUAWEIAISpeaker,"""00A""","""001T""",playMusic,play specific music,play,enum,"{""asr"":{""enumList"":[{""label"":""America"",""value"":""AmericaMusic""},{""label"":""Light"",""value"":""LightMusic""},{""label"":""Background"",""value"":""BackgroundMusic""},{""label"":""Popular"",""value"":""PopularMusic""},{""label"":""Piano"",""value"":""PianoPiece""},{""label"":""Rock&Roll"",""value"":""Rock&Roll""},{""label"":""Folk"",""value"":""FolkSong""},{""label"":""Children"",""value"":""ChildrenSong""},{""label"":""Leisure"",""value"":""LeisureMusic""},{""label"":""Diy"",""value"":""aiting:5373510""}],""format"":""enum""}}",BackgroundMusic,,,speaker-HUAWEIAISpeaker_playMusic_play_BackgroundMusic,play Background music,,
41,speaker,HUAWEIAISpeaker,"""00A""","""001T""",playMusic,play specific music,play,enum,"{""asr"":{""enumList"":[{""label"":""America"",""value"":""AmericaMusic""},{""label"":""Light"",""value"":""LightMusic""},{""label"":""Background"",""value"":""BackgroundMusic""},{""label"":""Popular"",""value"":""PopularMusic""},{""label"":""Piano"",""value"":""PianoPiece""},{""label"":""Rock&Roll"",""value"":""Rock&Roll""},{""label"":""Folk"",""value"":""FolkSong""},{""label"":""Children"",""value"":""ChildrenSong""},{""label"":""Leisure"",""value"":""LeisureMusic""},{""label"":""Diy"",""value"":""aiting:5373510""}],""format"":""enum""}}",PopularMusic,,,speaker-HUAWEIAISpeaker_playMusic_play_PopularMusic,play Popular music,,
42,speaker,HUAWEIAISpeaker,"""00A""","""001T""",playMusic,play specific music,play,enum,"{""asr"":{""enumList"":[{""label"":""America"",""value"":""AmericaMusic""},{""label"":""Light"",""value"":""LightMusic""},{""label"":""Background"",""value"":""BackgroundMusic""},{""label"":""Popular"",""value"":""PopularMusic""},{""label"":""Piano"",""value"":""PianoPiece""},{""label"":""Rock&Roll"",""value"":""Rock&Roll""},{""label"":""Folk"",""value"":""FolkSong""},{""label"":""Children"",""value"":""ChildrenSong""},{""label"":""Leisure"",""value"":""LeisureMusic""},{""label"":""Diy"",""value"":""aiting:5373510""}],""format"":""enum""}}",PianoPiece,,,speaker-HUAWEIAISpeaker_playMusic_play_PianoPiece,play Piano piece,,
43,speaker,HUAWEIAISpeaker,"""00A""","""001T""",playMusic,play specific music,play,enum,"{""asr"":{""enumList"":[{""label"":""America"",""value"":""AmericaMusic""},{""label"":""Light"",""value"":""LightMusic""},{""label"":""Background"",""value"":""BackgroundMusic""},{""label"":""Popular"",""value"":""PopularMusic""},{""label"":""Piano"",""value"":""PianoPiece""},{""label"":""Rock&Roll"",""value"":""Rock&Roll""},{""label"":""Folk"",""value"":""FolkSong""},{""label"":""Children"",""value"":""ChildrenSong""},{""label"":""Leisure"",""value"":""LeisureMusic""},{""label"":""Diy"",""value"":""aiting:5373510""}],""format"":""enum""}}",Rock&Roll,,,speaker-HUAWEIAISpeaker_playMusic_play_Rock&Roll,play Rock&Roll,,
44,speaker,HUAWEIAISpeaker,"""00A""","""001T""",playMusic,play specific music,play,enum,"{""asr"":{""enumList"":[{""label"":""America"",""value"":""AmericaMusic""},{""label"":""Light"",""value"":""LightMusic""},{""label"":""Background"",""value"":""BackgroundMusic""},{""label"":""Popular"",""value"":""PopularMusic""},{""label"":""Piano"",""value"":""PianoPiece""},{""label"":""Rock&Roll"",""value"":""Rock&Roll""},{""label"":""Folk"",""value"":""FolkSong""},{""label"":""Children"",""value"":""ChildrenSong""},{""label"":""Leisure"",""value"":""LeisureMusic""},{""label"":""Diy"",""value"":""aiting:5373510""}],""format"":""enum""}}",FolkSong,,,speaker-HUAWEIAISpeaker_playMusic_play_FolkSong,play Folk song,,
45,speaker,HUAWEIAISpeaker,"""00A""","""001T""",playMusic,play specific music,play,enum,"{""asr"":{""enumList"":[{""label"":""America"",""value"":""AmericaMusic""},{""label"":""Light"",""value"":""LightMusic""},{""label"":""Background"",""value"":""BackgroundMusic""},{""label"":""Popular"",""value"":""PopularMusic""},{""label"":""Piano"",""value"":""PianoPiece""},{""label"":""Rock&Roll"",""value"":""Rock&Roll""},{""label"":""Folk"",""value"":""FolkSong""},{""label"":""Children"",""value"":""ChildrenSong""},{""label"":""Leisure"",""value"":""LeisureMusic""},{""label"":""Diy"",""value"":""aiting:5373510""}],""format"":""enum""}}",ChildrenSong,,,speaker-HUAWEIAISpeaker_playMusic_play_ChildrenSong,play Children song,,
46,speaker,HUAWEIAISpeaker,"""00A""","""001T""",playMusic,play specific music,play,enum,"{""asr"":{""enumList"":[{""label"":""America"",""value"":""AmericaMusic""},{""label"":""Light"",""value"":""LightMusic""},{""label"":""Background"",""value"":""BackgroundMusic""},{""label"":""Popular"",""value"":""PopularMusic""},{""label"":""Piano"",""value"":""PianoPiece""},{""label"":""Rock&Roll"",""value"":""Rock&Roll""},{""label"":""Folk"",""value"":""FolkSong""},{""label"":""Children"",""value"":""ChildrenSong""},{""label"":""Leisure"",""value"":""LeisureMusic""},{""label"":""Diy"",""value"":""aiting:5373510""}],""format"":""enum""}}",LeisureMusic,,,speaker-HUAWEIAISpeaker_playMusic_play_LeisureMusic,play Leisure music,,
47,speaker,HUAWEIAISpeaker,"""00A""","""001T""",playMusic,play specific music,play,enum,"{""asr"":{""enumList"":[{""label"":""America"",""value"":""AmericaMusic""},{""label"":""Light"",""value"":""LightMusic""},{""label"":""Background"",""value"":""BackgroundMusic""},{""label"":""Popular"",""value"":""PopularMusic""},{""label"":""Piano"",""value"":""PianoPiece""},{""label"":""Rock&Roll"",""value"":""Rock&Roll""},{""label"":""Folk"",""value"":""FolkSong""},{""label"":""Children"",""value"":""ChildrenSong""},{""label"":""Leisure"",""value"":""LeisureMusic""},{""label"":""Diy"",""value"":""aiting:5373510""}],""format"":""enum""}}",aiting:5373510,,,speaker-HUAWEIAISpeaker_playMusic_play_aiting:5373510,play Diy music,,
48,speaker,HUAWEIAISpeaker,"""00A""","""001T""",volumeControl,control volume,setVolume,range,,,0,100,speaker-HUAWEIAISpeaker_volumeControl_setVolume_range,,,
49,cleaner,ECOVACSCleaner,"""031""","""20GQ""",switchOnOff,switchOnOff,on,enum,"[{""enumName"": ""on"", ""value"": ""1""}, {""enumName"": ""off"", ""value"": ""0""}]",1,,,cleaner-ECOVACSCleaner_switchOnOff_on_1,turn on the cleaner,,
50,cleaner,ECOVACSCleaner,"""031""","""20GQ""",switchOnOff,switchOnOff,on,enum,"[{""enumName"": ""on"", ""value"": ""1""}, {""enumName"": ""off"", ""value"": ""0""}]",0,,,cleaner-ECOVACSCleaner_switchOnOff_on_0,turn off the cleaner,,
51,cleaner,ECOVACSCleaner,"""031""","""20GQ""",setDirective,instruction,recharge,enum,"[{""enumName"": ""on"", ""value"": ""1""}, {""enumName"": ""off"", ""value"": ""0""}]",1,,,cleaner-ECOVACSCleaner_setDirective_recharge_1,make cleaner recharge,,
52,cleaner,ECOVACSCleaner,"""031""","""20GQ""",setDirective,instruction,clean,enum,"[{""enumName"": ""on"", ""value"": ""1""}, {""enumName"": ""off"", ""value"": ""0""}]",1,,,cleaner-ECOVACSCleaner_setDirective_clean_1,make cleaner clean,,
53,cleaner,ECOVACSCleaner,"""031""","""20GQ""",setDirective,instruction,pause,enum,"[{""enumName"": ""on"", ""value"": ""1""}, {""enumName"": ""off"", ""value"": ""0""}]",1,,,cleaner-ECOVACSCleaner_setDirective_pause_1,make cleaner pause,,
54,plug,CHNTPlug,"""01E""","""148M""",switchOnOff,switchOnOff,on,enum,"[{""enumName"": ""on"", ""value"": ""1""}, {""enumName"": ""off"", ""value"": ""0""}]",1,,,plug-CHNTPlug_switchOnOff_on_1,switch on the plug,,
55,plug,CHNTPlug,"""01E""","""148M""",switchOnOff,switchOnOff,on,enum,"[{""enumName"": ""on"", ""value"": ""1""}, {""enumName"": ""off"", ""value"": ""0""}]",0,,,plug-CHNTPlug_switchOnOff_on_0,switch off the plug,,
56,phone,iPhoneX,"""mobile""","""X03""",switchStatus,switch phone status,wifi,enum,"[{""enumName"": ""on"", ""value"": ""enabled""}, {""enumName"": ""off"", ""value"": ""disabled""}]",enabled,,,phone-iPhoneX_switchStatus_wifi_enabled,enable wifi,,
57,phone,iPhoneX,"""mobile""","""X03""",switchStatus,switch phone status,wifi,enum,"[{""enumName"": ""on"", ""value"": ""enabled""}, {""enumName"": ""off"", ""value"": ""disabled""}]",disabled,,,phone-iPhoneX_switchStatus_wifi_disabled,disable wifi,,
58,phone,iPhoneX,"""mobile""","""X03""",switchStatus,switch phone status,do_not_disturb,enum,"[{""enumName"": ""on"", ""value"": ""1""}, {""enumName"": ""off"", ""value"": ""0""}]",1,,,phone-iPhoneX_switchStatus_do_not_disturb_1,enable do not disturb ,,
59,phone,iPhoneX,"""mobile""","""X03""",switchStatus,switch phone status,do_not_disturb,enum,"[{""enumName"": ""on"", ""value"": ""1""}, {""enumName"": ""off"", ""value"": ""0""}]",0,,,phone-iPhoneX_switchStatus_do_not_disturb_0,disable do not disturb ,,
60,phone,iPhoneX,"""mobile""","""X03""",switchStatus,switch phone status,setRingerMode,enum,"[{""enumName"": ""silent"", ""value"": ""0""}, {""enumName"": ""vibration"", ""value"": ""1""}, {""enumName"": ""ring"", ""value"": ""2""}]",0,,,phone-iPhoneX_switchStatus_setRingerMode_0,silent mode,,
61,phone,iPhoneX,"""mobile""","""X03""",switchStatus,switch phone status,setRingerMode,enum,"[{""enumName"": ""silent"", ""value"": ""0""}, {""enumName"": ""vibration"", ""value"": ""1""}, {""enumName"": ""ring"", ""value"": ""2""}]",1,,,phone-iPhoneX_switchStatus_setRingerMode_1,vibration mode,,
62,phone,iPhoneX,"""mobile""","""X03""",switchStatus,switch phone status,setRingerMode,enum,"[{""enumName"": ""silent"", ""value"": ""0""}, {""enumName"": ""vibration"", ""value"": ""1""}, {""enumName"": ""ring"", ""value"": ""2""}]",2,,,phone-iPhoneX_switchStatus_setRingerMode_2,ring mode,,
63,phone,iPhoneX,"""mobile""","""X03""",switchStatus,switch phone status,bluetooth,enum,"[{""enumName"": ""on"", ""value"": ""enabled""}, {""enumName"": ""off"", ""value"": ""disabled""}]",enabled,,,phone-iPhoneX_switchStatus_bluetooth_enabled,enable bluetooth,,
64,phone,iPhoneX,"""mobile""","""X03""",switchStatus,switch phone status,bluetooth,enum,"[{""enumName"": ""on"", ""value"": ""enabled""}, {""enumName"": ""off"", ""value"": ""disabled""}]",disabled,,,phone-iPhoneX_switchStatus_bluetooth_disabled,disable bluetooth,,
65,phone,iPhoneX,"""mobile""","""X03""",flashlight,flashlight,switch,enum,"[{""enumName"": ""on"", ""value"": ""on""}, {""enumName"": ""off"", ""value"": ""off""}]",on,,,phone-iPhoneX_flashlight_switch_on,switch on flashlight,,
66,phone,iPhoneX,"""mobile""","""X03""",flashlight,flashlight,switch,enum,"[{""enumName"": ""on"", ""value"": ""on""}, {""enumName"": ""off"", ""value"": ""off""}]",off,,,phone-iPhoneX_flashlight_switch_off,switch off flashlight,,
67,phone,iPhoneX,"""mobile""","""X03""",camera,camera,switch,enum,"[{""enumName"": ""on"", ""value"": ""on""}, {""enumName"": ""off"", ""value"": ""off""}]",on,,,phone-iPhoneX_camera_switch_on,switch on camera,,
68,phone,iPhoneX,"""mobile""","""X03""",camera,camera,switch,enum,"[{""enumName"": ""on"", ""value"": ""on""}, {""enumName"": ""off"", ""value"": ""off""}]",off,,,phone-iPhoneX_camera_switch_off,switch off camera,,
69,phone,iPhoneX,"""mobile""","""X03""",phoneCall,phone call,call,enum,"[{""enumName"": ""call"", ""value"": ""1""}, {""enumName"": ""endCall"", ""value"": ""0""}]",0,,,phone-iPhoneX_phoneCall_call_0,hang up,,
70,phone,iPhoneX,"""mobile""","""X03""",phoneCall,phone call,call,enum,"[{""enumName"": ""call"", ""value"": ""1""}, {""enumName"": ""endCall"", ""value"": ""0""}]",1,,,phone-iPhoneX_phoneCall_call_1,answer call,,
71,phone,iPhoneX,"""mobile""","""X03""",seekBar,volume control slider,UpDown,enum,"[{""enumName"": ""up"", ""value"": ""1""}, {""enumName"": ""down"", ""value"": ""0""}]",0,,,phone-iPhoneX_seekBar_UpDown_0,turn down the volume,,
72,phone,iPhoneX,"""mobile""","""X03""",seekBar,volume control slider,UpDown,enum,"[{""enumName"": ""up"", ""value"": ""1""}, {""enumName"": ""down"", ""value"": ""0""}]",1,,,phone-iPhoneX_seekBar_UpDown_1,turn up the volume,,
